INSERT INTO public.employees (f_name, m_name, l_name, reg_date, email, phone)
VALUES ('Earle', '', 'Dempsey-Wooten', '1978-08-19', 'carlota-crumpton@drag.fm.br', '+505-5014-773-628'),
('Kenyetta', '', 'Arreola', '2003-04-25', 'kami.shuman5809@seas.nic.in', '+33-2221-790-505'),
('Roxanna', '', 'Kyle', '2008-06-03', 'zoniastaley8749@flashing.gov.sh', '+42-5801-704-747'),
('Johna', '', 'Borders', '1995-10-01', 'france_bedford62302@yahoo.com', '+33-4658-052-275'),
('Alane', '', 'Carson', '1971-02-07', 'cordia-israel81062@hotmail.com', '+968-7676-007-175'),
('Carletta', '', 'Steffen', '2020-05-19', 'narcisa-mickens8@gmail.com', '+36-7705-699-243'),
('Marcelino', '', 'Han', '1976-02-22', 'marita1177@gmail.com', '+36-3550-982-568'),
('Shelly', '', 'Mcgee', '1981-12-21', 'susann34@hotmail.com', '+57-1105-180-717'),
('Timothy', '', 'Clifton', '1998-09-28', 'erasmo_huggins186@watt.com', '+353-5651-711-421'),
('Robbi', '', 'Holder', '1999-07-22', 'lisabethburnside@yahoo.com', '+234-8896-605-505'),
('Lorette', '', 'Joy', '2015-08-20', 'wayne.provost54@fax.com', '+216-9944-947-145'),
('Buddy', '', 'Ricks', '1997-02-16', 'young3846@hotmail.com', '+357-7639-198-338'),
('Nadine', '', 'Stafford', '2018-01-29', 'signe7691@gmail.com', '+212-4193-242-837'),
('Carlyn', '', 'Killian', '1977-12-01', 'fatima-francisco98101@scanned.com', '+94-5763-604-628'),
('Sha', '', 'Mize', '2009-01-20', 'eloisejobe@hotmail.com', '+54-7419-410-428'),
('Devin', '', 'Hooks', '2012-05-22', 'manuela11@yahoo.com', '+32-8846-931-674'),
('Jane', '', 'Flint', '1974-10-19', 'chantell_hinds65724@kill.com', '+64-3577-137-239'),
('Farah', '', 'Borden', '2008-03-11', 'lauryn.eldridge035@hotmail.com', '+597-9230-265-897'),
